case:sel2	"'y'"
case:probe-refmode-objs	"(('Commit_has_Commit_sha_uc', ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'not', 'null', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', ('CONS', 1), 1), ('COMP', ('CONS', 1), 2))), ('COMP', 'not', 'eq'))), 1), 'apndl', 2)), 'theta:append_phi'), 'distl'), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', 'id', 'id'))), ('Commit_has_Commit_sha_pid', ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'not', 'null', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', ('CONS', 2), 1), ('COMP', ('CONS', 2), 2))), ('COMP', 'not', 'eq'))), 1), 'apndl', 2)), 'theta:append_phi'), 'distl'), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', 'id', 'id'))), ('Commit_has_Commit_sha_mand', ('COMP', 'theta:setminus', ('CONS', ('COMP', 'theta:proj1', ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit'), 'id'))), 2)), ('COMP', 'theta:proj1', 1)))), ('Commit_has_Commit_sha_mand_e', ('COMP', 'theta:setminus', ('CONS', ('COMP', 'theta:proj1', 1), ('COMP', 'theta:proj1', ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit_has_Commit_sha'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit_has_Commit_sha'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit_has_Commit_sha'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Commit_has_Commit_sha'), 'id'))), 2))))))"
case:probe-refmode-mand-e	"'Commit_has_Commit_sha_mand_e'"
case:probe-refmode-pid	"'Commit_has_Commit_sha_pid'"
case:probe-refmode-r2	"'Commit_has_Commit_sha.2'"
case:extent-of	"('t1', 't2', 't3')"
case:extent-of-value	"('A', 'B')"
case:ident-rows	"(('t1', 't1'), ('t2', 't2'), ('t3', 't3'))"
case:refmode-expand	"((('instanceOf', ('Task', 'ObjectType')), ('refMode', ('Task', 'id')), ('instanceOf', ('Task_id', 'ValueType')), ('factType', ('Task_has_Task_id', '{0} has {1}')), ('role', ('Task_has_Task_id.1', 'Task_has_Task_id', 1, 'Task')), ('role', ('Task_has_Task_id.2', 'Task_has_Task_id', 2, 'Task_id')), ('constraint', ('Task_has_Task_id_uc', 'uniqueness', 'Task_has_Task_id', 'alethic')), ('spans', ('Task_has_Task_id_uc', 1)), ('constraint', ('Task_has_Task_id_pid', 'uniqueness', 'Task_has_Task_id', 'alethic')), ('spans', ('Task_has_Task_id_pid', 2)), ('constraint', ('Task_has_Task_id_mand', 'mandatory', 'Task_has_Task_id', 'Task', 'alethic')), ('spans', ('Task_has_Task_id_mand', 1))), (('Task_has_Task_id_uc', ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'not', 'null', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', ('CONS', 1), 1), ('COMP', ('CONS', 1), 2))), ('COMP', 'not', 'eq'))), 1), 'apndl', 2)), 'theta:append_phi'), 'distl'), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', 'id', 'id'))), ('Task_has_Task_id_pid', ('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'not', 'null', ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', ('COMP', ('CONS', 2), 1), ('COMP', ('CONS', 2), 2))), ('COMP', 'not', 'eq'))), 1), 'apndl', 2)), 'theta:append_phi'), 'distl'), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', 'id', 'id'))), ('Task_has_Task_id_mand', ('COMP', 'theta:setminus', ('CONS', ('COMP', 'theta:proj1', ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Task'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Task'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Task'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Task'), 'id'))), 2)), ('COMP', 'theta:proj1', 1)))), ('Task_has_Task_id_mand_e', ('COMP', 'theta:setminus', ('CONS', ('COMP', 'theta:proj1', 1), ('COMP', 'theta:proj1', ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Task_has_Task_id'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Task_has_Task_id'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Task_has_Task_id'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Task_has_Task_id'), 'id'))), 2)))))))"
case:refmode-none	"((('instanceOf', ('Task', 'ObjectType'))), ())"
case:field-type-entity	"'entity'"
case:field-refmode	"'sha'"
case:field-type-declared	"'date'"
case:field-type-enum	"'enum'"
case:field-type-text	"'text'"
case:control-edit-date	"'datepicker'"
case:control-edit-enum	"'selectlist'"
case:control-edit-bool	"'switch'"
case:control-edit-entity	"'navigationfield'"
case:control-edit-money	"'numericfield'"
case:control-view-entity	"'button'"
case:control-edit-unknown	"'label'"
case:control-view-date	"'label'"
case:control-list-title	"'text'"
case:control-list-other	"'subtext'"
case:check-arity	"(('F_bad', 2, 1), ('F_wide', 1, 2))"
case:partition-uc-role1	"(('A', 'F'))"
case:partition-uc-role2	"(('B', 'F'))"
case:deontic-subset-viols	"(('sub_x', 'F_ant', ('c', 'd')))"
case:render-json-tree	"'[\"menu\",[[\"button\",\"finish\",\"completed\"]]]'"
case:render-menu-canonical	"'<nav class=\"menu\"><button name=\"go\" value=\"done\">go</button></nav>'"
case:and-tt	"'T'"
case:and-tf	"'F'"
case:not-t	"'F'"
case:not-f	"'T'"
case:le-num	"'T'"
case:le-str	"'T'"
case:length	"3"
case:length-phi	"0"
case:chars	"('a', 'b', 'c')"
case:charup	"'A'"
case:charup-noop	"'A'"
case:chardown	"'z'"
case:charisup	"'T'"
case:charisup-f	"'F'"
case:charislow	"'T'"
case:charisdigit	"'T'"
case:charisdigit-f	"'F'"
case:ntoa	"'42'"
case:quote-str	"'\"ab\"'"
case:strip-prefix	"'c'"
case:strip-prefix-miss	"'abc'"
case:strip-prefix-equal	"''"
case:charup-multi	"'Z'"
case:charisup-multi	"'T'"
case:charup-empty	"''"
case:show-int	"'42'"
case:show-str	"''ab''"
case:show-numstr	"''42''"
case:show-seq	"'('a', 1)'"
case:show-phi	"'()'"
case:show-one	"'('c')'"
case:show-nested	"'(('a', 1), 2)'"
case:create-commits	"'committed'"
case:create-refuses	"'refused'"
case:tr-kinds	"(('translate_nouns', 'entity_type'), ('translate_nouns', 'value_type'), ('translate_nouns', 'subtype_of'), ('translate_nouns', 'brace_subtypes'), ('translate_subtypes', 'subtype_of'), ('translate_subtypes', 'brace_subtypes'), ('translate_enum_values', 'value_constraint'), ('translate_data_types', 'data_type'), ('translate_instance_facts', 'fact_type_reading'), ('translate_fact_types', 'fact_type_reading'), ('translate_derivation_mode_facts', 'fact_type_reading'), ('translate_derivation_rules', 'class_rule'), ('translate_derivation_rules', 'rule_if'), ('translate_derivation_rules', 'rule_iff'), ('translate_derivation_rules', 'derivation_rule'), ('translate_cardinality_constraints', 'uniqueness'), ('translate_cardinality_constraints', 'inverse_uc'), ('translate_cardinality_constraints', 'spanning_uc'), ('translate_cardinality_constraints', 'spanning_uc2'), ('translate_cardinality_constraints', 'frequency'), ('translate_cardinality_constraints', 'neg_uniqueness'), ('translate_cardinality_constraints', 'disjunctive_mandatory'), ('translate_cardinality_constraints', 'mandatory'), ('translate_cardinality_constraints', 'for_each_mandatory'), ('translate_cardinality_constraints', 'neg_mandatory'), ('translate_ring_constraints', 'ring'), ('translate_set_constraints', 'set_comparison'), ('translate_set_constraints', 'subset'), ('translate_set_constraints', 'subset_trailing'), ('translate_set_constraints', 'equality'), ('translate_set_constraints', 'disjunctive_mandatory'), ('translate_value_constraints', 'value_constraint'), ('translate_state_machines', 'sm_def'), ('translate_state_machines', 'sm_initial'), ('translate_state_machines', 'sm_from'), ('translate_state_machines', 'sm_to'), ('translate_state_machines', 'sm_trigger'), ('translate_state_machines', 'sm_guard'), ('translate_state_machines', 'sm_emit'), ('translate_state_machines', 'sm_moore'), ('translate_finality', 'finality'), ('translate_objectifications', 'objectification'), ('translate_negation', 'neg_pair'), ('translate_negation', 'negation'))"
case:kinds-of	"('class_rule', 'rule_if', 'rule_iff', 'derivation_rule')"
case:kinds-of-cardinality	"('uniqueness', 'inverse_uc', 'spanning_uc', 'spanning_uc2', 'frequency', 'neg_uniqueness', 'disjunctive_mandatory', 'mandatory', 'for_each_mandatory', 'neg_mandatory')"
case:kinds-of-unknown	"()"
case:modal-ops	"(('It is obligatory that ', 'deontic', 'positive'), ('It is forbidden that ', 'deontic', 'negative'), ('It is permitted that ', 'deontic', 'possibility'), ('It is necessary that ', 'alethic', 'positive'), ('It is impossible that ', 'alethic', 'negative'), ('It is possible that ', 'alethic', 'possibility'), ('', 'alethic', 'positive'))"
case:quant-min	"('some', 'that', 'each', 'no')"
case:quant-full	"('some', 'that', 'each', 'no', 'an', 'a')"
case:qualifiers	"('that', 'some', 'the', 'other', 'a', 'an')"
case:implicit-stop	"('If', 'When', 'Then', 'That', 'This', 'An', 'A', 'The', 'Each', 'Some', 'No', 'Every', 'Not', 'It', 'There', 'Once', 'For', 'In', 'Of', 'To', 'On', 'At', 'By', 'With', 'And', 'Or', 'Only')"
case:noun-quants	"('each', 'some', 'every', 'no', 'any')"
case:owned-modes	"('fully-derived', 'derived-and-stored')"
case:generic-classifications	"('Fact Type Reading', 'Instance Fact')"
case:generated-prefixes	"('dsl:', 'xsd:', 'owl:', 'edm:', 'html:', 'dtd:', 'wsdl:', 'xforms:', 'plix:', 'nav:', 'solidity:')"
case:sm-phrases	"('is initial', 'is from Status', 'is to Status', 'is triggered by Fact Type', 'is defined in State Machine')"
case:cooked-kinds	"('sm_trigger', 'sm_guard', 'ring', 'frequency', 'value_constraint', 'uniqueness', 'mandatory', 'neg_uniqueness', 'neg_mandatory', 'for_each_mandatory', 'inverse_uc', 'spanning_uc', 'spanning_uc2', 'negation', 'subtype_of', 'fact_type_reading', 'derivation_rule', 'class_rule', 'neg_pair', 'rule_if', 'rule_iff')"
case:cook-exceptions	"(('deontic', 'fact_type_reading'))"
case:session-verbs	"('apps_check', 'apps_compile', 'apps_create', 'apps_current', 'apps_list', 'apps_register', 'apps_status', 'apps_use', 'context', 'engine_version', 'orient', 'select_component', 'tutor_actions', 'tutor_apply', 'tutor_authoring', 'tutor_check', 'tutor_compile', 'tutor_get', 'tutor_list', 'tutor_propose', 'tutor_query', 'tutor_reset')"
case:app-verbs	"('actions', 'apply', 'ask', 'cells', 'compile', 'explain', 'get', 'induce', 'propose', 'query', 'retract', 'schema', 'sql', 'synthesize', 'validate', 'verify')"
case:resident-ops	"('base_seed', 'cells', 'compile_model', 'neval', 'query', 'run_rules', 'sql_project', 'synthesize_pairs', 'verbs')"
case:store-verbs	"('get', 'actions', 'schema', 'synthesize', 'query', 'cells', 'derive', 'nav')"
case:read-family	"('get', 'actions', 'schema', 'synthesize')"
case:receipt-verbs	"('apply', 'retract')"
case:read-verbs	"('get', 'schema', 'sql', 'explain', 'validate', 'verify', 'actions', 'synthesize', 'entities', 'items')"
case:read-args	"(('get', 'noun'), ('get', 'id'), ('sql', 'statement'), ('explain', 'id'), ('actions', 'noun'), ('actions', 'id'), ('synthesize', 'id'), ('entities', 'noun'), ('items', 'noun'))"
case:modal-prefix-plain	"''"
case:modal-prefix-deontic	"'It is forbidden that '"
case:modal-prefix-possible	"'It is permitted that '"
case:deontic-ops	"(('positive', 'deontic_obligatory'), ('negative', 'deontic_forbidden'))"
case:derivation-modes	"(('**', 'derived-and-stored', 'T'), ('++', 'partially-derived-and-stored', 'T'), ('*', 'fully-derived', 'F'), ('+', 'semi-derived', 'F'))"
case:cmp-ops	"(('exceeds', 'gt'), ('is greater than', 'gt'), ('is less than', 'lt'), ('is at least', 'ge'), ('is at most', 'le'), ('equals', 'eq'), ('is before', 'lt'), ('is after', 'gt'))"
case:agg-ops	"('min', 'max', 'count', 'sum', 'avg')"
case:cs-prefix	"(('disjunctive_mandatory', 'ior_'), ('subset', 'subset_'), ('equality', 'eq_'))"
case:bootstrap-kinds	"('class_rule', 'entity_type', 'fact_type_reading', 'value_constraint', 'value_type')"
case:hop-connectives	"('that', 'who')"
case:anaphor-connectives	"('that', 'those')"
case:cardinality-openers	"('at most one', 'exactly one')"
case:attach-modes	"(('uniqueness', 'local'), ('spanning_uniqueness', 'local'), ('frequency', 'local'), ('ring_irreflexive', 'local'), ('ring_symmetric', 'local'), ('ring_asymmetric', 'local'), ('ring_antisymmetric', 'local'), ('ring_intransitive', 'local'), ('ring_acyclic', 'local'), ('subtype', 'foreign'), ('external_uniqueness', 'foreign'), ('value', 'local'), ('mandatory', 'arc'), ('subset', 'foreign'), ('equality', 'ab'), ('exclusion', 'clause'), ('exclusive_or', 'clause'), ('disjunctive_mandatory', 'clause'), ('deontic_forbidden', 'df'), ('deontic_obligatory', 'do'))"
case:cs-builders	"(('exclusion', 'constraints:exclusion'), ('exclusive_or', 'constraints:exclusive_or'), ('inclusive_or', 'constraints:inclusive_or'), ('scoped_exclusion', 'constraints:scoped_exclusion'), ('scoped_exclusive_or', 'constraints:scoped_exclusive_or'), ('scoped_inclusive_or', 'constraints:scoped_inclusive_or'), ('scoped_subset', 'constraints:scoped_subset'), ('scoped_equality_side', 'constraints:scoped_equality_side'))"
case:panes	"('tabs', 'master', 'detail', 'popover')"
case:pane-for	"(('tabs', 'tabs'), ('list', 'master'), ('detail', 'detail'), ('entry', 'popover'))"
case:validate-of-two-local	"((('a'), ('b')), (('x'), ('y')), 'T')"
case:cannot-produce-empty	"'T'"
case:cannot-produce-fires	"'F'"
case:cannot-produce-count-fires	"'F'"
case:cannot-produce-join-fires	"'F'"
case:cannot-produce-join-both-still	"'T'"
case:any-reads-hit	"'T'"
case:any-reads-miss	"'F'"
case:form-lookup	"('joinon', 'derive:form_joinon')"
case:unknown-form-refuses	"<refused>"
case:trigger-advances	"(('o1', 'placed'))"
case:trigger-guarded	"(('o1', 'placed'))"
case:compile-declares	"('LawIsScopedToDomain', ('Law', 'Domain'))"
case:compile-fts	"('ClaimIsWitnessedByStage', ('Function', 'Function'), ((1, 2)), (), (()))"
case:declare-lands	"(('AHasB', ('A', 'B'), ''), ('LawHolds', ('Law'), ''))"
case:create-swaps-population	"('AHasB', ('Function', 'Function'), ((1, 2)), (), ((('x', '1'), ('y', '2'))))"
case:create-leaves-others	"('AHasB', ('Function', 'Function'), ((1, 2)), (), ((('x', '1'))))"
case:defs-step-admits	"201"
case:defs-step-refuses	"409"
case:create-validates-clean	"'F'"
case:create-refuses-alethic	"'T'"
case:retract-removes	"(('y', '2'))"
case:retract-absent	"(('x', '1'), ('y', '2'))"
case:replace-swaps	"(('x', '9'), ('y', '2'))"
case:replace-upserts	"(('z', '3'), ('x', '1'), ('y', '2'))"
case:supersession-holds	"'T'"
case:supersession-catches-live	"'F'"
case:supersession-catches-chain	"'F'"
case:outcome-committed	"'committed'"
case:outcome-deontic-commits	"'committed_with_violations'"
case:outcome-uniqueness-refuses	"'refused'"
case:outcome-mandatory-refuses	"'refused'"
case:outcome-mixed-refuses	"'refused'"
case:outcome-unknown-family-refuses	"'refused'"
case:match-unique	"'ann'"
case:match-shared-phone-refuses	"()"
case:match-absent-number	"()"
case:match-dedups-one-agent	"'ann'"
case:match-prune-resolves-ambiguity	"'cal'"
case:match-prune-can-empty	"()"
case:match-prune-keeps-singleton	"'dee'"
case:match-fill-searches-the-path	"'ann'"
case:match-fill-shared-phone-refuses	"()"
case:match-fill-unknown-number	"()"
case:validate-mandatory-fires	"(('AgentHasPhone', 'mandatory', 'bob'))"
case:validate-mandatory-satisfied	"()"
case:validate-no-mandatory-declared	"()"
case:deontic-violation-commits-the-write	"2"
case:alethic-violation-refuses-the-write	"1"
case:read-all-rows	"3"
case:read-restricts-by-filler	"(('cal', '555-0300'))"
case:read-filler-matches-nothing	"()"
case:read-wildcard-skips-role-one	"(('bob', '555-0200'), ('cal', '555-0200'))"
case:read-wildcard-everywhere-is-all	"3"
case:subset-satisfied	"()"
case:subset-violation-refuses	"(('Sub', 'subset', 'z'))"
case:subset-deontic-warns	"(('Sub', 'deontic', 'z'))"
case:eval-pairwith-full-path	"(('a', 'x', 'tag'), ('b', 'y', 'tag'))"
case:eval-pairwith-nested-source	"(('a', 'closed'), ('b', 'closed'))"
case:eval-unknown-form-refuses	"<refused>"
case:harel-inherited-edge	"(('M', 't9', 'done', 'e9'), ('a', 't9', 'done', 'e9'), ('b', 't9', 'done', 'e9'))"
case:sqltype-declared-decimal	"'DECIMAL'"
case:sqltype-declared-integer	"'INTEGER'"
case:sqltype-undeclared-defaults-text	"'TEXT'"
case:subset-joinpath-holds	"()"
case:subset-joinpath-violated	"(('A', 'subset', ('a1', 'b1')))"
case:pop-nested-binary	"(('a', 'x'), ('a', 'z'), ('b', 'y'))"
case:pop-nested-keeps-rows	"(('c', 'p', 'q'))"
case:marker-marked-spans-modes	"('Alpha', 'Beta', 'Gamma', 'Delta')"
case:marker-marked-semi-alone	"('Beta')"
case:marker-marked-subtype-alone	"('Gamma')"
case:field-opts-enum	"('open', 'done', 'blocked')"
case:field-opts-text	"()"
case:enum-values-split	"('Data Link', 'x', 'a, b')"
case:control-edit-largetext	"'textarea'"
case:new-instance-validated-with-its-fact	"0"
case:new-instance-with-a-phone-commits	"1"
case:refused-fact-leaves-no-instance	"('ann')"
case:machine-table-is-scoped-and-inherits	"(('New', 'TicketStarts', 'Open'), ('Open', 'TicketCloses', 'Closed'), ('A', 'TicketAdvances', 'B'), ('A', 'TicketCloses', 'Closed'), ('B', 'TicketCloses', 'Closed'))"
case:shared-status-name-does-not-cross-attach	"(('A', 'NotePublishes', 'Published'))"
case:entering-a-composite-descends	"(('t1', 'A'))"
case:transition-from-a-composite-fires	"(('t1', 'Closed'))"
case:links-at-a-nested-status	"(('t1', 'A'), ('A', 'TicketAdvances', 'B'), ('A', 'TicketCloses', 'Closed'))"
case:recipe-restricted-head-constants	"(('bryant@driv.ly', 'create', 'Support Request'))"
case:recipe-restricted-head-and-body	"(('f1', 'open'))"
case:recipe-restricted-head-reordered	"(('c', 'a'))"
case:auth-no-context-permits-all	"(('t1', 'A'), ('A', 'TicketAdvances', 'B'), ('A', 'TicketCloses', 'Closed'))"
case:auth-unary-permits-the-login	"(('t1', 'A'), ('A', 'TicketAdvances', 'B'), ('A', 'TicketCloses', 'Closed'))"
case:auth-unary-refuses-another-login	"()"
case:auth-unary-refuses-the-empty-caller	"()"
case:auth-ternary-names-the-link	"(('A', 'TicketCloses', 'Closed'))"
case:declared-names	"('AgentHasPhone', 'TeamHasAgent')"
case:declared-names-without-the-cell	"()"
case:api-unknown-resource-is-404	"404"
case:prohibited-rows-are-violations	"(('MessageUsesDash', 'deontic', 'm1'), ('MessageUsesDash', 'deontic', 'm2'))"
case:prohibited-empty-population-is-quiet	"()"
case:prohibited-literal-restricts-the-role	"(('MessageHasOpeningStyle', 'deontic', 'm1'))"
case:prohibited-qualified-by-a-unary	"(('MessageRecommendsAPI', 'deontic', 'm1'))"
case:trial-sees-the-written-row	"(('MessageUsesDash', 'deontic', 'm1'))"
case:api-malformed-is-400	"400"
case:post-introduces-no-warning	"('committed', (('cal', '555-9999'), ('ann', '555-0100')), (), ())"
case:post-introduces-a-warning	"('committed_with_violations', (('t1', 'dan')), (), (('AgentHasPhone', 'deontic', 'dan')))"
case:entity-machine-by-instance-type	"'Ticket'"
case:entity-machine-falls-back-to-the-type	"'Thing'"
case:one-name-keeps-the-possessive	"'OnTheDataSubject'sBehalf'"
case:one-name-keeps-the-abbreviation	"'AdoptsStandardContractualClauseForArt.28'"
case:one-name-raises-each-word	"'CharterOfFundamentalRightsOfTheCrossBorderUnion'"
case:screen-actions-at-a-nested-status	"(('menu', 'actions (A)', ('item', 'TicketAdvances', '-> B', ('fire', 'TicketAdvances', 'Ticket', 't1')), ('item', 'TicketCloses', '-> Closed', ('fire', 'TicketCloses', 'Ticket', 't1'))))"
case:collapse-follows-the-identifier-order	"(('info', 'X', 'Start', 'Start', 'T', ('f', 'XHasStart')), ('info', 'X', 'End', 'End', 'T', ('f', 'XHasEnd')))"
case:collapse-keeps-an-unheld-child-last	"(('info', 'X', 'Start', 'Start', 'T', ('f', 'XHasStart')), ('info', 'X', 'End', 'End', 'T', ('f', 'XHasEnd')), ('info', 'X', 'Z', 'Z', 'F', ('f', 'XHasZ')))"
case:get-of-an-empty-population	"('[[\"resource\",\"MessageUsesDash\"],[\"rows\",[]],[\"violations\",[]],[\"links\",[]]]', 200)"
case:get-of-an-unknown-resource-is-404	"('', 404)"
case:mcp-tool-carries-its-reading	"(('MessageRecommendsPlan', ('Message', 'Plan'), 'Message recommends Plan'))"
case:mcp-tool-without-a-reading	"(('MessageRecommendsPlan', ('Message', 'Plan'), ''))"
case:verb-declared-to-take-the-store	"'T'"
case:verb-declared-to-take-arguments	"'F'"
case:verb-the-model-does-not-describe	"'F'"
case:verbs-are-the-runnable-declared-operations	"(('v1', 'store', 'cell-list'))"
